"romaji","hiragana","definition","priority","type","japanese"
"kasaneru","かさねる","pile, add layers, stack, heap","2454","Unknown","重ねる"
"Error","","","2455","",""
"tsui ni","ついに","finally, at last","2456","Adverb","遂に"
"giseki","ぎせき","parliamentary seat or seat in a diet (place in which to sit)","2457","Noun","議席"
"chosho","ちょしょ","a written work","2458","Unknown","著書"
"uchiageru","うちあげる","launch","2459","Verb","打ち上げる"
"gakki","がっき","musical instrument","2460","Unknown","楽器"
"hyōron","ひょうろん","criticism, comment","2461","Unknown","評論"
"kyūjō","きゅうじょう","ballpark, baseball stadium","2462","Unknown","球場"
"shugo","しゅご","protection; safeguard","2463","Unknown","守護"
"Shanhai","上海","Shanghai","2464","Proper noun","上海"
"sengoku","せんごく","warring state","2465","Unknown","戦国"
"mura","むら","village","2466","Unknown","むら"
"kotai","こたい","an individual living thing","2467","Noun","個体"
"san","さん","(law) 3, three","2468","Noun","参"
"kansen","かんせん","infection, contagion","2469","Noun","感染"
"nobiru","のびる","to stretch, to extend, to be developed.","2470","Unknown","伸びる"
"konbi","コンビ","combination","2471","Noun","コンビ"
"deshi","でし","pupil; apprentice","2472","Unknown","弟子"
"ochīru","おちいる","fall in, lapse into, yield to","2473","Verb","陥る"
"keiji","けいじ","detective (police officer who looks for evidence)","2474","Unknown","刑事"
"Error","","","2475","",""
"Error","","","2476","",""
"dōki","どうき","same period, same time, synchronous","2477","Unknown","同期"
"shirushi","しるし","mark, sign, indication, symbol","2478","Unknown","印"
"ginga","ぎんが","(astronomy) galaxy","2479","Noun","銀河"
"kata","かた","(martial arts) choreographed training exercises","2480","Noun","型"
"intāchenji","インターチェンジ","interchange","2481","Noun","インターチェンジ"
"kyōnen","きょうねん","age at death","2482","Unknown","享年"
"Error","","","2483","",""
"jūshi","じゅうし","stress, serious consideration","2484","Unknown","重視"
"kōchiku","こうちく","construction, building","2485","Unknown","構築"
"ikasu","いかす","to bring to life, to revive, to resuscitate","2486","Unknown","生かす"
"tanni","たんに","simply; only","2487","Unknown","単に"
"kata","かた","one part of a two-way pair","2488","Noun","片"
"engeki","えんげき","theatrical play","2489","Unknown","演劇"
"ruiji","るいじ","similarity, resemblance, the fact of being an analogue; the fact of being similar","2490","Unknown","類似"
"hanmei","はんめい","clarification, identification","2491","Unknown","判明"
"kaitai","かいたい","demolition","2492","Unknown","解体"
"ridatsu","りだつ","exit, secession","2493","Unknown","離脱"
"Rui","ルイ","Louis (in French-speaking countries)","2494","Unknown","ルイ"
"hanbun","はんぶん","a half","2495","Unknown","半分"
"sasaeru","ささえる","support","2496","Verb","支える"
"gyorai","ぎょらい","torpedo","2497","Noun","魚雷"
"kame","かめ","tortoise, turtle","2498","Noun","亀"
"tanmatsu","たんまつ","(computer hardware) terminal","2499","Unknown","端末"
"juyo","じゅよ","(act of) awarding an award, a credit, or prize","2500","Noun","授与"
"Shikoku","しこく","Shikoku, the fourth largest island of Japan.","2501","Proper noun","四国"
"Serubia","セルビア","Serbia","2502","Unknown","セルビア"
"zaigaku","ざいがく","current enrollment in school","2503","Unknown","在学"
"tsukaeru","つかえる","to serve, serve under, take service under","2504","Verb","仕える"
"bijinesu","ビジネス","business","2505","Noun","ビジネス"
"jōto","じょうと","surrender","2506","Noun","譲渡"
"hōi","ほうい","encirclement","2507","Noun","包囲"
"hakobu","はこぶ","to convey, transport, move","2508","Unknown","運ぶ"
"fīrudo","フィールド","field, land area","2509","Noun","フィールド"
"jigen","じげん","a dimension","2510","Noun","次元"
"abura","あぶら","oil","2511","Noun","油"
"toritsukeru","とりつける","install, furnish","2512","Unknown","取り付ける"
"bitto","ビット","(computing) bit","2513","Noun","ビット"
"taosu","たおす","fell; throw down; knock down; cause something upright to become horizontal","2514","Unknown","倒す"
"Watanabe","わたなべ","A surname​. The 4th most common surname in Japan.[1]","2515","Unknown","渡辺"
"shisaku","しさく","trial production","2516","Unknown","試作"
"hoji","ほじ","keeping, holding, conservation, retention","2517","Unknown","保持"
"osoreru","おそれる","to fear; to be afraid","2518","Verb","恐れる"
"gurīn","グリーン","green","2519","Unknown","グリーン"
"onsei","おんせい","speech sound, voice","2520","Unknown","音声"
"teichaku","ていちゃく","settlement, radication","2521","Noun","定着"
"haibi","はいび","deployment","2522","Noun","配備"
"meikaku","めいかく","clear, definite, precise","2523","Unknown","明確"
"Tekisasu","テキサス","Texas","2524","Proper noun","テキサス"
"shōbō","しょうぼう","fire fighting, firefighting","2525","Unknown","消防"
"ryōhō","りょうほう","both sides","2526","Unknown","両方"
"kizu","きず","injury; cut; scar","2527","Noun","傷"
"fujin","ふじん","(honorific) (another person's) wife, married lady","2528","Unknown","夫人"
"sukēto","スケート","skates","2529","Unknown","スケート"
"Isuraeru","イスラエル","(country) Israel","2530","Unknown","イスラエル"
"mirai","みらい","the future","2531","Noun","未来"
"sekiyu","せきゆ","oil, petroleum","2532","Unknown","石油"
"hanatsu","はなつ","fire, shoot","2533","Unknown","放つ"
"Sangiin","さんぎいん","the House of Councilors of Japan","2534","Unknown","参議院"
"sono uchi","そのうち","Alternative spelling of その内","2535","Unknown","其の内"
"dorei","どれい","a slave (person owned by another, forced to work for another or to perform sexual acts)","2536","Noun","奴隷"
"yoru","よる","due to","2537","Verb","因る"
"Seisho","せいしょ","the Bible","2538","Proper noun","聖書"
"ōte","おおて","major company","2539","Unknown","大手"
"sōsa","そうさ","(law) a criminal investigation","2540","Unknown","捜査"
"gekidan","げきだん","theatrical troupe","2541","Unknown","劇団"
"Saga","さが","a place name, such as that of Saga prefecture or Saga City","2542","Proper noun","佐賀"
"momo","もも","peach","2543","Noun","桃"
"hiroba","ひろば","open area, square","2544","Unknown","広場"
"hashira","はしら","pillar","2545","Noun","柱"
"rei","レイ","A lei; a Hawaiian garland","2546","Unknown","レイ"
"bunken","ぶんけん","literature","2547","Unknown","文献"
"gyōsha","ぎょうしゃ","vendor, merchant, dealer","2548","Unknown","業者"
"jinrui","じんるい","human, mankind, humankind, human beings","2549","Noun","人類"
"so","そ","ancestor","2550","Noun","祖"
"mahō","まほう","The arts of magic, spellcraft, witchcraft, wizardry, sorcery.","2551","Noun","魔法"
"shutai","しゅたい","the main part, the part making up most of something","2552","Unknown","主体"
"shinri","しんり","mental state, mentality","2553","Noun","心理"
"kikan","きかん","one's return home","2554","Noun","帰還"
"jitsugyō","じつぎょう","industry; business","2555","Unknown","実業"
"ryōdo","りょうど","territory, realm, dominion","2556","Unknown","領土"
"yanagi","やなぎ","willow (tree)","2557","Noun","柳"
"kashi","かし","lyrics (words to a song)","2558","Unknown","歌詞"
"Takeda","たけだ","A surname​.","2559","Proper noun","武田"
"pairotto","パイロット","pilot (of a plane)","2560","Noun","パイロット"
"kō","こう","like this, in this way, so, thus","2561","Unknown","こう"
"genba","げんば","actual spot","2562","Noun","現場"
"memorī","メモリー","Alternative form of メモリ","2563","Noun","メモリー"
"kōnin","こうにん","official recognition","2564","Unknown","公認"
"kōryo","こうりょ","consideration, regard, account","2565","Unknown","考慮"
"yu","ゆ","warm or hot water","2566","Noun","湯"
"seishitsu","せいしつ","a person's nature or disposition","2567","Unknown","性質"
"tōyō","とうよう","the Orient, Asia","2568","Noun","東洋"
"shiji","しじ","instructions, indication","2569","Unknown","指示"
"kakageru","かかげる","put up, hang out","2570","Unknown","掲げる"
"kanja","かんじゃ","patient","2571","Noun","患者"
"pawā","パワー","power, including physical strength, motive force, authority, and electricity","2572","Noun","パワー"
"toriireru","とりいれる","bring in, take inside","2573","Unknown","取り入れる"
"koshō","こしょう","break, break down, have a fault, go out of order","2574","Noun","故障"
"saido","さいど","a second time, twice again","2575","Unknown","再度"
"Chūka Jinmin Kyōwakoku","ちゅうかじんみんきょうわこく","People's Republic of China (the official name of China)","2576","Proper noun","中華人民共和国"
"fasshon","ファッション","fashion (current (constantly changing) trend, favored for frivolous rather than practical, logical, or intellectual reasons)","2577","Noun","ファッション"
"koso","こそ","Emphatic particle used for emphasis. There is no direct translation, but it is roughly analogous to precisely.","2578","Unknown","こそ"
"ofu","オフ","off","2579","Unknown","オフ"
"sanka","さんか","being affiliated with, under the umbrella of","2580","Unknown","傘下"
"semeru","せめる","attack; assault","2581","Unknown","攻める"
"shōgō","しょうごう","honorary title","2582","Unknown","称号"
"suponsā","スポンサー","sponsor (a person who provides funds)","2583","Unknown","スポンサー"
"Go","ご","Japanese reading of the Chinese surname Wu.","2584","Proper noun","呉"
"takamaru","たかまる","build, mount, intensify","2585","Unknown","高まる"
"taishō","たいしょう","grand prize","2586","Noun","大賞"
"kanryō","かんりょう","completion","2587","Noun","完了"
"-ben","べん","dialect","2588","Suffix","弁"
"wakatsu","わかつ","divide","2589","Verb","分かつ"
"Wīn","ウィーン","Vienna (in Austria)","2590","Proper noun","ウィーン"
"hori","ほり","ditch, canal","2591","Noun","堀"
"boku","ぼく","I; me (personal pronoun; usually by male)","2592","Pronoun","僕"
"Error","","","2593","",""
"jinkō","じんこう","man-made; artificial","2594","Noun","人工"
"mitasu","みたす","fill up","2595","Verb","満たす"
"senro","せんろ","railway, railroad","2596","Unknown","線路"
"hōmon","ほうもん","a visit","2597","Unknown","訪問"
"shōjiru","しょうじる","come about, occur, arise","2598","Unknown","生じる"
"kōritsu","こうりつ","efficiency","2599","Unknown","効率"
"shō","しょう","general; commander","2600","Noun","将"
"shinrai","しんらい","reliance, trust, confidence","2601","Unknown","信頼"
"yōsu","ようす","state of things; the situation; appearances; circumstances","2602","Unknown","様子"
"koi","こい","love, romantic love","2603","Noun","恋"
"mi","み","seed; fruit; nut","2604","Noun","実"
"hakki","はっき","exhibition; display; manifestation","2605","Noun","発揮"
"kōgai","こうがい","suburb; outskirts","2606","Unknown","郊外"
"boppatsu","ぼっぱつ","outbreak of war etc.","2607","Unknown","勃発"
"setai","せたい","household","2608","Unknown","世帯"
"tsuihō","ついほう","banishment","2609","Noun","追放"
"kawari","かわり","substitution, substitute","2610","Noun","代わり"
"tamago","たまご","an egg","2611","Noun","卵"
"tokui","とくい","triumphant, proud","2612","Adjectival noun","得意"
"purodyūsu","プロデュース","production of a movie, television show, etc.","2613","Noun","プロデュース"
"kokubō","こくぼう","national defense","2614","Noun","国防"
"Bukkyō","ぶっきょう","Buddhism","2615","Proper noun","仏教"
"sokutei","そくてい","measurement","2616","Unknown","測定"
"kishi","きし","a knight (warrior, especially of the Middle Ages)","2617","Noun","騎士"
"take","たけ","a tall mountain","2618","Noun","岳"
"Ichirō","いちろう","A male given name","2619","Unknown","一郎"
"kashin","かしん","vassal","2620","Unknown","家臣"
"chiri","ちり","geography","2621","Noun","地理"
"shokugyō","しょくぎょう","occupation, trade, profession, business","2622","Unknown","職業"
"-fuku","ふく","","2623","Counter","服"
"myūjishan","ミュージシャン","musician","2624","Unknown","ミュージシャン"
"ki-","き","(archaic) added to nouns related to people to indicate superiority","2625","Prefix","貴"
"Error","","","2626","",""
"dōga","どうが","moving picture","2627","Noun","動画"
"bunki","ぶんき","divergence in a train line or road, bifurcation, branching","2628","Unknown","分岐"
"genjitsu","げんじつ","reality","2629","Noun","現実"
"jazu","ジャズ","Jazz","2630","Unknown","ジャズ"
"dono","どの","which ..&#160;? (interrogative demonstrative); what ..&#160;? (one out of the available choices)","2631","Adnominal","どの"
"bunretsu","ぶんれつ","division, split, breakup","2632","Unknown","分裂"
"ansatsu","あんさつ","assassination","2633","Noun","暗殺"
"tanki","たんき","short term","2634","Unknown","短期"
"togeru","とげる","accomplish","2635","Unknown","遂げる"
"gōi","ごうい","agreement","2636","Noun","合意"
"sōzoku","そうぞく","succession, inheritance (the act of inheriting, rather than the thing inherited)","2637","Noun","相続"
"dageki","だげき","strike, blow","2638","Unknown","打撃"
"haru","はる","spread, fill","2639","Unknown","張る"
"shigen","しげん","resources","2640","Unknown","資源"
"uttaeru","うったえる","to sue","2641","Verb","訴える"
"inchi","インチ","inch","2642","Noun","インチ"
"Inoue","いのうえ","A surname​.","2643","Unknown","井上"
"Shikago","シカゴ","Chicago","2644","Proper noun","シカゴ"
"kurashikku","クラシック","classical (of a traditional style)","2645","Unknown","クラシック"
"kōfuku","こうふく","surrender, capitulation","2646","Noun","降伏"
"webu","ウェブ","web","2647","Unknown","ウェブ"
"kabu","かぶ","lower part","2648","Noun","下部"
"animēshon","アニメーション","(animation) an animation, a cartoon","2649","Noun","アニメーション"
"Berugī","ベルギー","Belgium","2650","Proper noun","ベルギー"
"rando","ランド","land (area of earth)","2651","Unknown","ランド"
"jakku","ジャック","a jack (surface mounted connector)","2652","Noun","ジャック"
"pasokon","パソコン","(computing) a PC, a personal computer","2653","Noun","パソコン"
"kudasu","くだす","pass judgement, conclude, rule","2654","Verb","下す"
"tanjun","たんじゅん","simple","2655","Adjectival noun","単純"
"Denmāku","デンマーク","Denmark","2656","Proper noun","デンマーク"
"meizuru","めいずる","command","2657","Unknown","命ずる"
"tsugitsugi","つぎつぎ","one after another","2658","Unknown","次々"
"tobari","とばり","curtain","2659","Noun","帳"
"hai","はい","a shōchū-based highball","2660","Noun","ハイ"
"toriatsukau","とりあつかう","handle, treat","2661","Unknown","取り扱う"
"ryūkō","りゅうこう","fashion, vogue","2662","Unknown","流行"
"Hitoshi","ひとし","A male given name","2663","Proper noun","旬"
"senji","せんじ","wartime, times of war","2664","Noun","戦時"
"janru","ジャンル","genre","2665","Noun","ジャンル"
"jinin","じにん","resignation","2666","Unknown","辞任"
"saibai","さいばい","cultivation, culture","2667","Noun","栽培"
"shikichi","しきち","site, premises, ground","2668","Unknown","敷地"
"kyokuchō","きょくちょう","agency head, chief, director","2669","Unknown","局長"
"suiso","すいそ","hydrogen (chemical element)","2670","Noun","水素"
"kyōryoku","きょうりょく","strong; powerful","2671","Adjectival noun","強力"
"shutsuba","しゅつば","riding out on a horse; often to a battlefield","2672","Unknown","出馬"
"chokutsū","ちょくつう","going directly","2673","Unknown","直通"
"kakaeru","かかえる","to hold under the arms","2674","Unknown","抱える"
"itchi","いっち","agreement, harmony, unity","2675","Unknown","一致"
"jū","じゅう","dwelling; living","2676","Unknown","住"
"soshō","そしょう","(law) lawsuit (a case where a court is needed to resolve differences)","2677","Unknown","訴訟"
"yokujitsu","よくじつ","the next day","2678","Noun","翌日"
"yamanashi","やまなし","nashi pear, sand pear, Asian pear, apple pear","2679","Noun","山梨"
"nyūryoku","にゅうりょく","input","2680","Noun","入力"
"enjo","えんじょ","assistance, aid","2681","Unknown","援助"
"nando","なんど","the number of times, how often","2682","Unknown","何度"
"fukushi","ふくし","welfare, well-being","2683","Unknown","福祉"
"iriguchi","いりぐち","entrance","2684","Noun","入り口"
"rōkaru","ローカル","local","2685","Unknown","ローカル"
"tasukeru","たすける","to help; to save; to rescue","2686","Verb","助ける"
"naganen","ながねん","many years","2687","Noun","長年"
"shitagatte","したがって","therefore","2688","Unknown","従って"
"Tottori","とっとり","a place name, such as that of Tottori Prefecture or Tottori City","2689","Proper noun","鳥取"
"ōji","おうじ","prince","2690","Noun","王子"
"Error","","","2691","",""
"annai","あんない","guidance","2692","Unknown","案内"
"i","い","medicine (vocation), healing, doctor, cure","2693","Noun","医"
"fukkō","ふっこう","reconstruction, restoration","2694","Unknown","復興"
"souru","ソウル","soul, spirit","2695","Noun","ソウル"
"insatsu","いんさつ","printing","2696","Unknown","印刷"
"renpa","れんぱ","consecutive championships","2697","Unknown","連覇"
"mōtā","モーター","motor (engine)","2698","Unknown","モーター"
"bamen","ばめん","scene (in a TV show, play, etc.)","2699","Noun","場面"
"kakū","かくう","fictitious","2700","Unknown","架空"
"mēru","メール","Synonym of 電子メール (denshi mēru, “electronic mail”)","2701","Noun","メール"
"shōten","しょうてん","shop; store; retail shop","2702","Unknown","商店"
"sochi","そち","measure, step","2703","Unknown","措置"
"shōshō","しょうしょう","(military) a major general","2704","Noun","少将"
"jiin","じいん","Buddhist temple, wat","2705","Unknown","寺院"
"idenshi","いでんし","gene","2706","Noun","遺伝子"
"pāsonariti","パーソナリティ","personality (a person's character)","2707","Noun","パーソナリティ"
"kikō","きこう","(meteorology) climate","2708","Unknown","気候"
"katsuyō","かつよう","application (the use of a thing)","2709","Unknown","活用"
"Sukottorando","スコットランド","Scotland","2710","Proper noun","スコットランド"
"habahiroi","はばひろい","extensive","2711","Unknown","幅広い"
"jisha","じしゃ","one's own company","2712","Noun","自社"
"toride","とりで","fort","2713","Noun","砦"
"sakiyuki","さきゆき","future, prospects","2714","Noun","先行"
"kenryoku","けんりょく","power, authority","2715","Unknown","権力"
"danjo","だんじょ","man and woman, men and women; both sexes","2716","Noun","男女"
"idaku","いだく","embrace, hug, hold in one's arms","2717","Verb","抱く"
"kaneru","かねる","serve as one thing and another at once","2718","Unknown","兼ねる"
"ka-","か","temporary","2719","Prefix","仮"
"fushō","ふしょう","unknown, unidentified","2720","Unknown","不詳"
"tobu","とぶ","to fly","2721","Verb","飛ぶ"
"kosuto","コスト","cost (price)","2722","Noun","コスト"
"aku","あく","evil, wickedness","2723","Noun","悪"
"ju","じゅ","years of age","2724","Noun","寿"
"shisei","しせい","posture (how one holds one's body)","2725","Unknown","姿勢"
"taikei","たいけい","system","2726","Unknown","体系"
"fuku","ふく","(transitive or intransitive) blow (of wind, to move; or to cause air to move)","2727","Verb","吹く"
"sōshō","そうしょう","general term","2728","Noun","総称"
"utsukushii","うつくしい","beautiful","2729","Adjective","美しい"
"seidō","せいどう","Confucian temple","2730","Noun","聖堂"
"rinku","リンク","(computing, Internet) link","2731","Noun","リンク"
"yosō","よそう","expectation; anticipation","2732","Noun","予想"
"kōseki","こうせき","attainment, performance, achievement","2733","Unknown","功績"
"shinwa","しんわ","myth; mythology (divine story)","2734","Noun","神話"
"tayō","たよう","diverse, various","2735","Adjectival noun","多様"
"ōfuku","おうふく","round trip","2736","Unknown","往復"
"ryōshin","りょうしん","[both] parents","2737","Noun","両親"
"buhin","ぶひん","part, component","2738","Noun","部品"
"raitā","ライター","a lighter (fire making device)","2739","Noun","ライター"
"kokugo","こくご","national language","2740","Noun","国語"
"saku","さく","plan; policy","2741","Noun","策"
"shoseki","しょせき","book","2742","Noun","書籍"
"kyojin","きょじん","a giant","2743","Noun","巨人"
"tazu","たず","a large, long-legged and long-necked bird, member of the family or clade Gruidae","2744","Noun","鶴"
"taka","たか","degree (amount)","2745","Unknown","多寡"
"jūji","じゅうじ","a cross, crucifix symbol","2746","Noun","十字"
"sodatsu","そだつ","(for a child to) be raised, grow up","2747","Unknown","育つ"
"yūdō","ゆうどう","guidance; leading","2748","Unknown","誘導"
"hiyō","ひよう","cost","2749","Unknown","費用"
"jitaku","じたく","home","2750","Noun","自宅"
"ōpuningu","オープニング","opening, especially of a business or show","2751","Noun","オープニング"
"amachua","アマチュア","amateur","2752","Unknown","アマチュア"
"kuizu","クイズ","a quiz","2753","Noun","クイズ"
"henkyoku","へんきょく","a musical arrangement","2754","Noun","編曲"
"chokusen","ちょくせん","straight line","2755","Unknown","直線"
"komūne","コムーネ","comune","2756","Noun","コムーネ"
"kioku","きおく","memory; recollection; remembrance","2757","Noun","記憶"
"endingu","エンディング","ending, especially of a broadcast or performance","2758","Noun","エンディング"
"kankyaku","かんきゃく","audience, the crowd","2759","Unknown","観客"
"kara","から","shell, crust, chaff","2760","Noun","殻"
"tōshu","とうしゅ","current head of a family","2761","Unknown","当主"
"sakusha","さくしゃ","the creator of a work, such as an author, writer, poet, or artist","2762","Unknown","作者"
"bōshi","ぼうし","prevention","2763","Unknown","防止"
"kinkō","きんこう","suburb; outlying area; outskirts","2764","Unknown","近郊"
"heddo","ヘッド","head (part of the body)","2765","Noun","ヘッド"
"sōshin","そうしん","transmission","2766","Unknown","送信"
"seiri","せいり","organizing something in orderly fashion","2767","Unknown","整理"
"Error","","","2768","",""
"kigō","きごう","symbol, mark","2769","Unknown","記号"
"kanji","かんじ","kanji","2770","Noun","漢字"
"shi","し","Conjunctive particle. Follows items in a list of reasons.","2771","Particle","し"
"kopī","コピー","act of copying","2772","Unknown","コピー"
"Takamatsu","たかまつ","a place name, such as that of Takamatsu City in Kagawa Prefecture","2773","Proper noun","高松"
"kireru","きれる","be cut off, break, snap, burst, collapse","2774","Unknown","切れる"
"ōchō","おうちょう","dynasty","2775","Unknown","王朝"
"kudō","くどう","drive (e.g. of a car)","2776","Unknown","駆動"
"burū","ブルー","blue (color)","2777","Adjectival noun","ブルー"
"Error","","","2778","",""
"shōken","しょうけん","(financial) security","2779","Unknown","証券"
"shamei","しゃめい","name of a company","2780","Unknown","社名"
"kyūsoku","きゅうそく","rapid","2781","Unknown","急速"
"kagiri","かぎり","limit, extent, scope","2782","Unknown","限り"
"dōmu","ドーム","a dome (architectural element)","2783","Noun","ドーム"
"Nitchū","にっちゅう","Japan-China, Japanese-Chinese, Sino-Japanese","2784","Proper noun","日中"
"raidā","ライダー","a rider, someone who rides","2785","Noun","ライダー"
"sōtoku","そうとく","governor general","2786","Unknown","総督"
"watasu","わたす","to hand over","2787","Unknown","渡す"
"Error","","","2788","",""
"ondo","おんど","temperature (a measure of cold or heat)","2789","Noun","温度"
"masu","ます","to increase","2790","Verb","増す"
"aitemu","アイテム","item (a product)","2791","Noun","アイテム"
"mine","みね","peak, ridge","2792","Noun","峰"
"Kei","けい","A male given name","2793","Proper noun","恵"
"dattai","だったい","withdrawal","2794","Unknown","脱退"
"Finrando","フィンランド","Finland","2795","Proper noun","フィンランド"
"tamotsu","たもつ","to keep up; to retain","2796","Verb","保つ"
"seisu","せいす","get the better of","2797","Unknown","制す"
"Ōhashi","おおはし","A surname​.","2798","Unknown","大橋"
"moshiku wa","もしくは","or","2799","Unknown","若しくは"
"betsumei","べつめい","alias, nickname","2800","Noun","別名"
"Isuramu","イスラム","Alternative form of イスラーム","2801","Unknown","イスラム"
"botan","ぼたん","a button (clothing)","2802","Noun","ボタン"
"konomu","このむ","to love; to like; to prefer","2803","Unknown","好む"
"heian","へいあん","peaceful","2804","Adjectival noun","平安"
"Mitsubishi","みつびし","Mitsubishi, a Japanese General company.","2805","Unknown","三菱"
"gensoku","げんそく","principle","2806","Unknown","原則"
"shōchō","しょうちょう","symbol","2807","Unknown","象徴"
"bansen","ばんせん","train track number","2808","Unknown","番線"
"hanshoku","はんしょく","breeding, propagation","2809","Unknown","繁殖"
"shūgeki","しゅうげき","raid","2810","Unknown","襲撃"
"bōdo","ボード","board (a long piece of wood used in construction)","2811","Noun","ボード"
"kan'yo","かんよ","involvement","2812","Noun","関与"
"-gu","ぐ","sets (armor, furniture)","2813","Counter","具"
"futan","ふたん","A burden, charge, or responsibility.","2814","Noun","負担"
"Chāruzu","チャールズ","Charles","2815","Proper noun","チャールズ"
"senkō","せんこう","academic major","2816","Unknown","専攻"
"shinsei","しんせい","application","2817","Noun","申請"
"būmu","ブーム","boom (a surge in popularity or demand)","2818","Noun","ブーム"
"michibiku","みちびく","guide, conduct","2819","Verb","導く"
"medatsu","めだつ","stand out","2820","Unknown","目立つ"
"suji","すじ","muscle","2821","Noun","筋"
"shikyō","しきょう","(religion) bishop","2822","Unknown","司教"
"kuma","くま","a bear (large mammal of family Ursidae)","2823","Noun","熊"
"zōsen","ぞうせん","shipbuilding","2824","Noun","造船"
"raisensu","ライセンス","license (US), licence (UK)","2825","Noun","ライセンス"
"taggu","タッグ","tag (small label)","2826","Unknown","タッグ"
"rieki","りえき","benefit","2827","Unknown","利益"
"shiji","しじ","apprenticeship","2828","Unknown","師事"
"Hiroshi","ひろし","A male given name","2829","Proper noun","博"
"kaiga","かいが","painting","2830","Noun","絵画"
"ryūtsū","りゅうつう","circulation (of money or information)","2831","Unknown","流通"
"shōsū","しょうすう","minority","2833","Noun","少数"
"hoshō","ほしょう","guarantee","2834","Unknown","保障"
"Hiroshi","ひろし","A male given name","2835","Proper noun","洋"
"taizai","たいざい","stay","2836","Unknown","滞在"
"Error","","","2837","",""
"-shō","しょう","manor","2838","Suffix","荘"
"umeru","うめる","to bury","2839","Verb","埋める"
"Error","","","2840","",""
"Mongoru","モンゴル","Mongolia","2841","Proper noun","モンゴル"
"jisseki","じっせき","achievements; actual results","2842","Unknown","実績"
"kōhyō","こうひょう","official announcement, proclamation","2843","Noun","公表"
"tabitabi","たびたび","often, frequently","2844","Adverb","度々"
"ryodan","りょだん","(military) a brigade","2845","Noun","旅団"
"izon","いぞん","dependency","2846","Unknown","依存"
"shinki","しんき","new, novel","2847","Adjectival noun","新規"
"senbatsu","せんばつ","selecting the best","2849","Unknown","選抜"
"Nakayama","なかやま","A surname​.","2850","Unknown","中山"
"inai","いない","within, inside of a certain area, range, or time period","2851","Unknown","以内"
"agariori","あがりおり","ascending and descending, ascent and descent","2852","Noun","上下"
"bokushingu","ボクシング","boxing (the sport of boxing)","2853","Noun","ボクシング"
"chūki","ちゅうき","middle period","2854","Unknown","中期"
"Oda","おだ","A surname​.","2855","Unknown","織田"
"osuman","オスマン","Ottoman","2856","Unknown","オスマン"
"rīdā","リーダー","leader (one having authority)","2857","Unknown","リーダー"
"kōso","こうそ","an enzyme","2858","Noun","酵素"
"Shun","しゅん","A male given name","2859","Proper noun","俊"
"saitei","さいてい","lowest","2860","Adjectival noun","最低"
"issai","いっさい","all, entirety, the whole, everything","2861","Noun","一切"
"shuppatsu","しゅっぱつ","departure","2862","Noun","出発"
"daitai","だいたい","(military) a battalion","2863","Noun","大隊"
"teishajō","ていしゃじょう","railway station, depot, railway stop","2864","Noun","停車場"
"kōsha","こうしゃ","the latter","2865","Unknown","後者"
"tōku","トーク","talk, especially on a talk show","2866","Unknown","トーク"
"ya","や","arrow","2867","Noun","矢"
"Maikeru","マイケル","Michael","2868","Unknown","マイケル"
"garasu","しょうし","Rare spelling of ガラス (“glass”). (substance)","2869","Noun","硝子"
"ito","いと","intention","2870","Unknown","意図"
"Puroisen","プロイセン","(historical) Prussia","2871","Proper noun","プロイセン"
"daimyō","だいみょう","one who owns much land","2872","Noun","大名"
"kokudo","こくど","realm, country, land","2873","Noun","国土"
"Furīdorihi","フリードリヒ","Friedrich","2874","Unknown","フリードリヒ"
"rongu","ロング","being long","2875","Unknown","ロング"
"katto","カット","a cut (a reduction in extent)","2876","Unknown","カット"
"urutora","ウルトラ","ultra","2877","Noun","ウルトラ"
"aitsugu","あいつぐ","follow one after another","2878","Unknown","相次ぐ"
"bakudan","ばくだん","bomb","2879","Noun","爆弾"
"ane","あね","one's own older sister","2880","Noun","姉"
"shōgaku","しょうがく","elementary school (grades 1-6)","2881","Unknown","小学"
"ryūiki","りゅういき","river basin","2882","Noun","流域"
"kishō","きしょう","weather, meteorological phenomenon","2883","Noun","気象"
"raireki","らいれき","history, provenance, origins","2884","Unknown","来歴"
"shiroi","しろい","white","2885","Adjective","白い"
"kassei","かっせい","activity","2886","Noun","活性"
"jun'i","じゅんい","order, rank, precedence","2887","Noun","順位"
"tekkyo","てっきょ","removal, dismantlement and removal","2888","Unknown","撤去"
"shūha","しゅうは","wave, frequency","2889","Unknown","周波"
"Takarazuka","たからづか","Takarazuka City in Hyōgo Prefecture","2890","Unknown","宝塚"
"yado","やど","lodging, inn","2891","Unknown","宿"
"dairi","だいり","surrogation, proxy","2892","Noun","代理"
"kanbu","かんぶ","executive","2893","Noun","幹部"
"yūsen","ゆうせん","priority","2894","Noun","優先"
"tsumu","つむ","pile up","2895","Unknown","積む"
"Ueno","うえの","a place name","2896","Unknown","上野"
"nyūshu","にゅうしゅ","obtaining; coming to hand","2897","Noun","入手"
"kabu","かぶ","stump of a tree","2898","Noun","株"
"attō","あっとう","overwhelming","2899","Unknown","圧倒"
"jimu","ジム","(sports) gym, a sporting facility specialized for lifting weights and exercise","2900","Unknown","ジム"
"Error","","","2901","",""
"yuzuru","ゆずる","yield up, cede, give up possession","2902","Verb","譲る"
"tei","てい","boat","2903","Noun","艇"
